id,title,artist,score
5j8hhWf7dxILKgMsRSScbM,Poli / Love - En Vivo,Zoé,-0.6762085069305791
5j8hhWf7dxILKgMsRSScbM,Poli / Love - En Vivo,Zoé,-0.6762085069305791
01N927VN3LvrSepEO1CdV3,Brilho Oculto,Mato Seco;Circuito Reggae,-0.6759031208197146
1uoA57FMhP9QjZxIJZVEWo,Jeová Jireh,Aline Barros,-0.6757751884481764
2GIXniwgfIlLuVTB4rWWWv,I Alone,Live,-0.6750078286620877
2GIXniwgfIlLuVTB4rWWWv,I Alone,Live,-0.6750078286620877
2J6v4RtFwpm8gBF6KOF8q3,Hexenkrieg,Bewitcher,-0.6745456721814536
6V37HbGkTESO25ksBhRIxf,Fumaça (Ao Vivo),Casa Worship;Léo Brandão;Julliany Souza,-0.6741160663201671
2LY1AfUB3ReDeyUl7zIZmW,Ninguém Te Ama Como Eu / Basta Querer / Não Dá Mais pra Voltar - Ao Vivo,Padre Marcelo Rossi,-0.6732000426855591
5TqUmeZKb2MJUMrqY39nmS,Senhor e Rei,Trazendo a Arca,-0.6724498399766226
7csWqbfVcojl2Z8n5GPdtp,Rökkur,Sólstafir,-0.670415359181066
13egNICeT6BaEjXAFHd7k4,Deafened By The Roar,Toxic Holocaust,-0.6698058931725664
0cEUrAqLYJafXksIpIBov4,Jeová Jireh,Aline Barros,-0.6696781994469139
0hYluuaTZEu95xFDSwFWl5,Killing the Giants as They Sleep,Panopticon,-0.669579996454865
6teaCqn4Izl1Af1ErKcUjQ,Eu me Rendo,Renascer Praise,-0.6692794520466425
3vddabBsXcvoerPkIlDHDF,Tudo a Ver Com Ele - Ao Vivo,Central 3;André Aquino,-0.6690767992070447
2Nmgl5ms85CE90Yu4lm8jL,O Holy Night,Weezer,-0.6674296604716918
2Nmgl5ms85CE90Yu4lm8jL,O Holy Night,Weezer,-0.6674296604716918
2c5bFJ82YxgGprGjOq1OaO,Pixel Affection,yeule,-0.6666708183894414
4jLVOcizOi34FZryboYa9R,Timidez,Biquini Cavadão,-0.6656502027494255
0jOSpB2zK2O0SNxj8ZT5lp,How Great Is Our God,Chris Tomlin,-0.6652191823631591
0jOSpB2zK2O0SNxj8ZT5lp,How Great Is Our God,Chris Tomlin,-0.6652191823631591
1jJci4qxiYcOHhQR247rEU,Kids,MGMT,-0.6647572924626575
1jJci4qxiYcOHhQR247rEU,Kids,MGMT,-0.6647572924626575
1uUq5kvGpoH5HTyw3nuh4X,Fight Fire With Fire,Vader;Maciej Taff,-0.6641727750557516
7hlPu95E6ur5uhUeFRfMzL,Seeing Red,Entombed,-0.6641245260596376
1QIqFCNyeUhRMeXXC1zkGV,I'm Coming For It,UNSECRET;Sam Tinnesz;GREYLEE,-0.6634296710437956
1PJVtHXprUOAJ7VWSmCdSo,More Torment,Midnight,-0.6626468696326031
2D9w6sabdMCLSheW5aegwO,Absolutely Zero,Jason Mraz,-0.6614032552463659
2aLXBmo9asXX5vC3n2hY3r,Chosen Race,Samael,-0.6613669944715123
